function_id,function,module,roles,priority,trigger,core_result,data_objects,evidence,acceptance_focus,state_exception_permission_rule,source_fc
F-3001,创建令牌（生成唯一明文 key + 校验额度区间与令牌数量上限）,令牌管理,user,P0,用户在控制台点击「新建令牌」提交表单,生成唯一 sk- 前缀 key 并写入 Token 表,Token,"controller/token.go AddToken：GenerateKey()、maxQuotaValue=1000000000*QuotaPerUnit、operation_setting.GetMaxUserTokens() 校验","非无限额度时 RemainQuota<0 返回 MsgTokenQuotaNegative；RemainQuota>10亿*QuotaPerUnit 返回 MsgTokenQuotaExceedMax；令牌数达上限返回「已达到最大令牌数量限制(N)」；成功后 DB 中存在该 key",Name>50 字符拒绝(MsgTokenNameTooLong)；UserAuth 中间件保护；UnlimitedQuota=true 时跳过额度校验,FC-073
F-3002,令牌列表分页查询（key 自动打码）,令牌管理,user,P0,用户进入令牌管理页,返回当前用户令牌分页列表且 key 字段已脱敏,Token,"controller/token.go GetAllTokens 调 buildMaskedTokenResponses；model/token.go GetAllUserTokens(user_id 过滤, Order id desc)",返回项 key 形如 abcd**********wxyz（MaskTokenKey）；仅返回 user_id=当前用户的令牌；分页 total 与 page_size 正确,key<=4 全打码、<=8 保留首尾2位；列表不泄露完整 key,FC-073
F-3003,令牌关键词/前缀搜索（SQL LIKE 注入防护 + 强制截断）,令牌管理,user,P0,用户在令牌页输入关键词或 token 串搜索,返回匹配的令牌分页结果,Token,model/token.go SearchUserTokens(searchHardLimit=100)、sanitizeLikePattern 用 ! 作 ESCAPE 字符,连续 %% 被拒绝；% 超过 2 个被拒绝；含 % 时去 % 后关键词需≥2 字符；limit>100 被强制截断为 100,SearchRateLimit 中间件限流(api-router.go /token/search)；仅搜索当前用户令牌,FC-073
F-3004,获取单个令牌明文 key（限流 + 禁缓存保护）,令牌管理,user,P0,用户点击复制完整 key,返回该令牌完整明文 key,Token,controller/token.go GetTokenKey 返回 token.GetFullKey()；api-router.go POST /token/:id/key 挂 CriticalRateLimit()+DisableCache(),返回 key 为完整未打码值；非本人令牌(GetTokenByIds 带 userId)取不到；高频调用被 CriticalRateLimit 拦截,DisableCache 中间件禁止响应被缓存；越权访问他人令牌返回错误,FC-074
F-3005,批量获取令牌明文 key（数量上限 100）,令牌管理,user,P1,用户多选令牌后点击批量导出 key,返回 id 到 key 的映射,Token,controller/token.go GetTokenKeysBatch：len(Ids)>100 返回 MsgBatchTooMany{Max:100}；model/token.go GetTokenKeysByIds Select(id+commonKeyCol),ids 为空返回 MsgInvalidParams；ids>100 返回上限错误；返回 keysMap 仅含本人令牌的完整 key,CriticalRateLimit+DisableCache 保护；GetTokenKeysByIds 带 userId 过滤越权,FC-074
F-3006,更新令牌（含仅改状态 status_only 与启用前合法性校验）,令牌管理,user,P0,用户编辑令牌或切换启用/禁用,更新 Token 字段或仅状态并返回打码后令牌,Token,controller/token.go UpdateToken：status_only 分支只改 Status；启用时校验 TokenStatusExpired/TokenStatusExhausted,已过期令牌(ExpiredTime<=now 且≠-1)启用返回 MsgTokenExpiredCannotEnable；额度耗尽且非无限启用返回 MsgTokenExhaustedCannotEable；status_only 模式不覆盖其他字段,Name>50 拒绝；RemainQuota 越界校验同创建；仅本人令牌可改,FC-073
F-3007,删除令牌 / 批量删除令牌,令牌管理,user,P1,用户删除单个或多选删除令牌,软删除令牌记录并返回删除数量,Token,controller/token.go DeleteToken 调 DeleteTokenById；DeleteTokenBatch 调 model.BatchDeleteTokens(ids+userId)；model/token.go gorm.DeletedAt 软删除,单删成功 success=true；批量删返回实际删除 count；ids 为空返回 MsgInvalidParams,DeletedAt 软删除而非物理删；BatchDeleteTokens 带 userId 防越权删他人令牌,FC-073
F-3008,令牌额度与过期时间管理（无限额度 / -1 永不过期）,令牌管理,user,P0,创建或编辑令牌时设置额度与有效期,持久化 RemainQuota/UnlimitedQuota/ExpiredTime,Token,model/token.go Token.ExpiredTime gorm default:-1（注释 -1 means never expired）、UnlimitedQuota bool、RemainQuota,ExpiredTime=-1 时 GetTokenStatus 返回 expires_at=0；UnlimitedQuota=true 时不做额度上下限校验；RemainQuota 持久化正确,-1 表示永不过期需在状态查询与启用校验中正确识别,FC-075
F-3009,令牌模型白名单（ModelLimits 开关 + 列表）,令牌管理,user,P1,用户为令牌配置可调用模型范围,限制该令牌仅可访问白名单内模型,Token,model/token.go ModelLimitsEnabled bool / ModelLimits text、IsModelLimitsEnabled()、GetModelLimitsMap()；controller/token.go AddToken 写入 ModelLimits,ModelLimitsEnabled=true 时 GetModelLimitsMap 返回允许模型布尔表；白名单外模型应被拒；Enabled=false 时不限制,ModelLimits 以 text 存储 JSON；GetTokenUsage 暴露 model_limits/model_limits_enabled 给上游,FC-076
F-3010,令牌 IP 白名单（AllowIps 多行解析）,令牌管理,user,P1,用户为令牌配置允许来源 IP,限制该令牌仅可从白名单 IP 调用,Token,model/token.go AllowIps *string、GetIpLimits() 按换行符切分并去空格去逗号,多行 IP 按换行解析为列表；空白/逗号被清理；AllowIps 为 nil 或空串返回空列表（不限制）,AllowIps 指针类型默认空串；空列表语义为不做 IP 限制,FC-077
F-3011,令牌按分组绑定（Group + 跨分组重试开关）,令牌管理,user,P1,用户为令牌指定可用分组,令牌请求按该分组路由渠道,Token,model/token.go Group default 空串、CrossGroupRetry bool（注释：跨分组重试，仅auto分组有效）；controller/token.go AddToken/UpdateToken 写 Group/CrossGroupRetry,令牌 Group 字段持久化；CrossGroupRetry 仅在 Group=auto 时生效；非 auto 分组该开关无效果,跨分组重试与 D10 auto 分组逻辑联动；普通分组忽略该标志,FC-078
F-3012,令牌用量查询（OpenAI 兼容 credit_summary / token_usage）,令牌管理,user,P1,外部客户端用令牌 key 查询用量,返回额度授予/已用/可用与过期时间,Token,controller/token.go GetTokenUsage 解析 Bearer 去 sk- 前缀；GetTokenStatus 返回 object=credit_summary；api-router.go /usage/token 挂 TokenAuthReadOnly,无 Authorization 头返回 401；非 bearer 格式返回 401；total_granted=RemainQuota+UsedQuota、total_used=UsedQuota；expires_at=-1 归零,TokenAuthReadOnly 中间件只读鉴权；key 无效返回 MsgTokenGetInfoFailed,FC-079
F-3013,模型元数据列表（分页 + 供应商计数填充）,模型元数据,admin,P1,管理员进入模型管理页,返回模型元数据分页列表及各供应商模型计数,ModelMeta,controller/model_meta.go GetAllModelsMeta：enrichModels 批量填充、GetVendorModelCounts()；api-router.go /models 挂 AdminAuth,返回 items/total/vendor_counts；enrichModels 避免 N+1 填充端点/渠道/分组/计费类型；分页参数正确,AdminAuth 中间件保护（仅管理员）,FC-080
F-3014,模型元数据搜索（关键词 + 供应商过滤）,模型元数据,admin,P1,管理员按关键词或供应商筛选模型,返回匹配的模型元数据分页结果,ModelMeta,controller/model_meta.go SearchModelsMeta：model.SearchModels(keyword，vendor)+enrichModels,keyword 与 vendor 双条件过滤生效；分页 total 正确；返回项含 enrich 后附加字段,AdminAuth 保护,FC-080
F-3015,模型元数据创建（名称查重 + 刷新定价）,模型元数据,admin,P1,管理员新增模型条目,写入 Model 表并刷新定价缓存,ModelMeta,controller/model_meta.go CreateModelMeta：ModelName 空校验、IsModelNameDuplicated(0，name)、Insert 后 RefreshPricing(),ModelName 为空返回「模型名称不能为空」；重名返回「模型名称已存在」；创建成功后 RefreshPricing 被调用,AdminAuth 保护；name_rule/vendor 等字段持久化,FC-080
F-3016,模型元数据更新（全量更新 / 仅状态 status_only）,模型元数据,admin,P1,管理员编辑模型或切换上/下架,更新 Model 记录并刷新定价,ModelMeta,controller/model_meta.go UpdateModelMeta：status_only=true 仅 Update(status)；否则 IsModelNameDuplicated(id，name) 后 m.Update(),Id=0 返回「缺少模型 ID」；status_only 模式不清空其他字段；重名（排除自身）返回已存在；更新后 RefreshPricing,AdminAuth 保护；status_only 防误清字段,FC-080
F-3017,模型元数据删除（刷新定价）,模型元数据,admin,P2,管理员删除模型条目,删除 Model 记录并刷新定价,ModelMeta,controller/model_meta.go DeleteModelMeta：DB.Delete(&Model，id) 后 RefreshPricing(),非数字 id 返回参数错误；删除成功 data=nil；RefreshPricing 被触发,AdminAuth 保护,FC-080
F-3018,供应商元数据 CRUD（名称唯一约束）,供应商元数据,admin,P1,管理员维护供应商（vendor）信息,增删改查 Vendor 记录,VendorMeta,controller/vendor_meta.go GetAllVendors/SearchVendors/CreateVendorMeta/UpdateVendorMeta/DeleteVendorMeta；IsVendorNameDuplicated,创建时 Name 空返回「供应商名称不能为空」；重名返回「供应商名称已存在」；更新缺 Id 返回「缺少供应商 ID」；按 keyword 可搜索,vendorRoute 挂 AdminAuth；删除按 :id,FC-081
