function_id,function,module,roles,priority,trigger,core_result,data_objects,evidence,acceptance_focus,state_exception_permission_rule,source_fc
F-4001,管理端全量日志查询（按类型/时间/用户名/令牌名/模型/渠道/分组/请求ID过滤分页）,日志与用量,admin,P0,管理员在日志页设置过滤条件翻页,返回符合过滤条件的全量日志分页列表与总数,Log,"controller/log.go GetAllLogs 取 type/start_timestamp/end_timestamp/username/token_name/model_name/channel/group/request_id/upstream_request_id 调 model.GetAllLogs;api-router.go logRoute.GET(""/"") 挂 AdminAuth()",传入 type/时间区间/username 等任一过滤项返回对应子集;total 与 page_size 分页正确;不传 type(LogTypeUnknown=0)返回全部类型,AdminAuth() 中间件保护;普通用户无法访问该接口,FC-101
F-4002,用户自助日志查询（仅本人 user_id，按类型/时间/令牌名/模型/分组过滤）,日志与用量,user,P0,用户在个人日志页翻页查询,返回当前登录用户本人的日志分页列表,Log,"controller/log.go GetUserLogs 取 c.GetInt(""id"") 作 userId 调 model.GetUserLogs;api-router.go logRoute.GET(""/self"") 挂 UserAuth()",返回项均属当前 user_id;无 username/channel 过滤维度(自助接口不暴露);分页 total 正确,UserAuth() 保护;无法越权查询他人 userId 日志,FC-101
F-4003,按令牌明文 key 查询消费日志（令牌读权限 + 限流 + 禁缓存）,日志与用量,user,P1,外部用程序带 token key 调 GET /api/log/token 查该 key 日志,返回该 token_id 对应的日志列表,Log;Token,"controller/log.go GetLogByKey 取 c.GetInt(""token_id"") 调 model.GetLogByTokenId;api-router.go logRoute.GET(""/token"") 挂 TokenAuthReadOnly()+CORS()+CriticalRateLimit()",token_id==0 返回「无效的令牌」;有效 token_id 返回其日志数组;高频调用被 CriticalRateLimit 拦截,TokenAuthReadOnly() 校验 key;Disable/CriticalRateLimit 防滥用,FC-102
F-4004,管理端日志统计（消费类 quota/rpm/tpm 汇总）,日志与用量,admin,P1,管理员在日志页查看统计卡片,返回过滤条件下 LogTypeConsume 日志的 quota、rpm、tpm 三项聚合值,Log,"controller/log.go GetLogsStat 调 model.SumUsedQuota;model/log.go SumUsedQuota Where(""type = ?"", LogTypeConsume)",返回 quota/rpm/tpm 三字段;仅统计 type=2(LogTypeConsume)的记录;过滤项随查询变化,AdminAuth() 保护(logRoute /stat),FC-102
F-4005,用户自助日志统计（按当前用户名汇总 quota/rpm/tpm）,日志与用量,user,P1,用户在个人仪表盘查看用量统计,返回以当前 username 限定的消费日志聚合 quota/rpm/tpm,Log,"controller/log.go GetLogsSelfStat 取 c.GetString(""username"") 传入 model.SumUsedQuota;api-router.go logRoute.GET(""/self/stat"") 挂 UserAuth()",统计 username 固定为当前用户;返回 quota/rpm/tpm;不接受任意 username 参数覆盖,UserAuth() 保护;username 来自上下文不可伪造,FC-102
F-4006,清理历史日志（按目标时间戳分批删除，每批上限 100）,日志与用量,admin,P1,管理员在日志维护设置目标时间点执行清理,删除早于 target_timestamp 的日志并返回删除条数,Log,"controller/log.go DeleteHistoryLogs 校验 target_timestamp!=0 调 model.DeleteOldLog(ctx, targetTimestamp, 100)",target_timestamp 为 0 返回「target timestamp is required」;成功返回 data=删除 count;单次最多删 100 条,AdminAuth() 保护(logRoute DELETE /),FC-101
F-4007,管理端配额按日数据查询（GetAllQuotaDates，可按 username 过滤）,日志与用量,admin,P1,管理员在数据看板选时间区间查看每日配额,返回时间区间内按日聚合的 QuotaData 列表,QuotaData,"controller/usedata.go GetAllQuotaDates 调 model.GetAllQuotaDates(start, end, username);api-router.go dataRoute.GET(""/"") 挂 AdminAuth()",传 username 过滤指定用户;返回按日分组数据;空 username 返回全站,AdminAuth() 保护,FC-103
F-4008,配额数据按用户聚合（GetQuotaDatesByUser，全站用户维度）,日志与用量,admin,P2,管理员查看各用户配额消耗排布,返回时间区间内按用户分组的配额聚合数据,QuotaData,"controller/usedata.go GetQuotaDatesByUser 调 model.GetQuotaDataGroupByUser(start, end);api-router.go dataRoute.GET(""/users"")",返回以用户为维度的聚合;时间区间生效;数据按 user 分组,AdminAuth() 保护,FC-103
F-4009,用户自助配额按日数据（GetUserQuotaDates，时间跨度上限 1 个月）,日志与用量,user,P1,用户在个人用量页选区间查看每日消耗,返回本人时间区间内的每日 QuotaData,QuotaData,"controller/usedata.go GetUserQuotaDates 取 c.GetInt(""id"") 调 model.GetQuotaDataByUserId;校验 endTimestamp-startTimestamp > 2592000",时间跨度超过 2592000 秒(1 月)返回「时间跨度不能超过 1 个月」;仅返回当前 userId 数据,UserAuth() 保护;userId 来自上下文防越权,FC-103
F-4010,模型/用量排行榜快照（公开，按 period 周/月）,日志与用量,anonymous;user,P2,公开页或控制台请求 GET /api/rankings,返回指定 period 的用量排行榜快照,UsedataRanking,"controller/rankings.go GetRankings 调 service.GetRankingsSnapshot(c.DefaultQuery(""period"", ""week""));api-router.go GET(""/rankings"") 挂 HeaderNavModuleAuth(""rankings"")",period 默认 week;非法 period 返回 400 + 错误信息;成功返回排行快照数据,受 HeaderNavModuleAuth(""rankings"") 模块开关控制是否可见,FC-104
